,age,gender,q3,continente,q4,q6,q21,q22,q39
385,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,Plotly Dash
385,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,GitHub
385,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,Colab
386,35-39,Man,Taiwan,Asia,Master’s degree,10-20 years,250-999 employees,3-4,GitHub
387,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,,,
388,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4,GitHub
389,25-29,Woman,Germany,Europa,Master’s degree,3-5 years,"10,000 or more employees",20+,I do not share my work publicly
390,35-39,Man,Indonesia,Asia,Doctoral degree,10-20 years,0-49 employees,0,I do not share my work publicly
391,40-44,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,50-249 employees,0,
392,35-39,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,I do not share my work publicly
393,18-21,Man,Brazil,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,250-999 employees,0,
394,25-29,Man,Bangladesh,Asia,Bachelor’s degree,3-5 years,250-999 employees,10-14,GitHub
394,25-29,Man,Bangladesh,Asia,Bachelor’s degree,3-5 years,250-999 employees,10-14,Kaggle
395,35-39,Man,India,Asia,Master’s degree,5-10 years,"10,000 or more employees",20+,GitHub
396,35-39,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",20+,GitHub
397,22-24,Man,India,Asia,Master’s degree,3-5 years,,,
398,35-39,Man,United States of America,América del Norte,Bachelor’s degree,5-10 years,250-999 employees,3-4,I do not share my work publicly
399,35-39,Man,Nigeria,África,Master’s degree,1-3 years,0-49 employees,3-4,
400,55-59,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,10-20 years,"1000-9,999 employees",3-4,
401,30-34,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",10-14,
402,35-39,Woman,India,Asia,Master’s degree,3-5 years,250-999 employees,20+,
403,30-34,Man,India,Asia,Master’s degree,5-10 years,0-49 employees,1-2,
404,22-24,Man,Turkey,África,Master’s degree,1-3 years,50-249 employees,3-4,I do not share my work publicly
405,60-69,Man,Other,,Master’s degree,< 1 years,50-249 employees,3-4,
406,30-34,Man,Ecuador,América del Sur,Master’s degree,< 1 years,50-249 employees,1-2,
407,25-29,Man,Ghana,África,Bachelor’s degree,1-3 years,0-49 employees,1-2,
408,22-24,Man,India,Asia,Master’s degree,1-3 years,,,
409,45-49,Man,Canada,América del Norte,Master’s degree,3-5 years,50-249 employees,3-4,I do not share my work publicly
410,25-29,Woman,Pakistan,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",5-9,I do not share my work publicly
411,25-29,Man,Ethiopia,África,Master’s degree,< 1 years,,,
412,35-39,Man,Mexico,América del Sur,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,1-2,
413,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Plotly Dash
413,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,GitHub
413,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Kaggle
414,45-49,Prefer not to say,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,20+ years,"10,000 or more employees",0,
415,35-39,Woman,Mexico,América del Sur,Bachelor’s degree,5-10 years,0-49 employees,1-2,Colab
416,40-44,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,0-49 employees,1-2,NBViewer
417,25-29,Man,Greece,Europa,Bachelor’s degree,1-3 years,0-49 employees,1-2,
418,25-29,Man,India,Asia,Master’s degree,5-10 years,0-49 employees,5-9,
419,25-29,Man,India,Asia,Master’s degree,20+ years,50-249 employees,20+,GitHub
419,25-29,Man,India,Asia,Master’s degree,20+ years,50-249 employees,20+,Personal blog
419,25-29,Man,India,Asia,Master’s degree,20+ years,50-249 employees,20+,Colab
419,25-29,Man,India,Asia,Master’s degree,20+ years,50-249 employees,20+,Shiny
420,22-24,Man,India,Asia,Master’s degree,1-3 years,250-999 employees,10-14,
421,45-49,Prefer not to say,Other,,No formal education past high school,20+ years,50-249 employees,5-9,I do not share my work publicly
422,22-24,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,
423,30-34,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,0,
424,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,
425,25-29,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,0-49 employees,1-2,
426,45-49,Man,Mexico,América del Sur,Master’s degree,1-3 years,50-249 employees,5-9,
427,40-44,Man,Singapore,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9,
428,30-34,Man,Other,,Bachelor’s degree,1-3 years,250-999 employees,3-4,I do not share my work publicly
429,30-34,Man,India,Asia,Bachelor’s degree,< 1 years,250-999 employees,1-2,GitHub
429,30-34,Man,India,Asia,Bachelor’s degree,< 1 years,250-999 employees,1-2,Kaggle
429,30-34,Man,India,Asia,Bachelor’s degree,< 1 years,250-999 employees,1-2,Colab
430,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,,,
431,40-44,Woman,Canada,América del Norte,Master’s degree,3-5 years,0-49 employees,5-9,
432,30-34,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,
433,45-49,Man,Japan,Asia,No formal education past high school,10-20 years,"1000-9,999 employees",5-9,GitHub
433,45-49,Man,Japan,Asia,No formal education past high school,10-20 years,"1000-9,999 employees",5-9,Kaggle
434,25-29,Woman,India,Asia,Bachelor’s degree,I have never written code,250-999 employees,15-19,
435,40-44,Man,Singapore,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,0-49 employees,3-4,I do not share my work publicly
436,18-21,Man,Russia,Asia,Master’s degree,1-3 years,0-49 employees,0,
437,22-24,Man,Mexico,América del Sur,Master’s degree,3-5 years,0-49 employees,0,
438,30-34,Man,United States of America,América del Norte,Master’s degree,1-3 years,"10,000 or more employees",3-4,
439,45-49,Man,United States of America,América del Norte,Doctoral degree,5-10 years,250-999 employees,3-4,I do not share my work publicly
440,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,50-249 employees,3-4,GitHub
441,35-39,Man,Germany,Europa,Doctoral degree,< 1 years,"10,000 or more employees",1-2,
442,45-49,Man,Other,,Master’s degree,3-5 years,"1000-9,999 employees",0,I do not share my work publicly
443,30-34,Man,India,Asia,Master’s degree,< 1 years,0-49 employees,0,
444,35-39,Man,India,Asia,Master’s degree,10-20 years,,,
445,50-54,Woman,Brazil,América del Sur,Doctoral degree,10-20 years,"1000-9,999 employees",20+,GitHub
445,50-54,Woman,Brazil,América del Sur,Doctoral degree,10-20 years,"1000-9,999 employees",20+,Colab
446,22-24,Man,Australia,Oceanía,Master’s degree,1-3 years,0-49 employees,0,GitHub
446,22-24,Man,Australia,Oceanía,Master’s degree,1-3 years,0-49 employees,0,Kaggle
446,22-24,Man,Australia,Oceanía,Master’s degree,1-3 years,0-49 employees,0,Colab
447,25-29,Man,Nigeria,África,Master’s degree,1-3 years,50-249 employees,3-4,I do not share my work publicly
448,30-34,Woman,Thailand,Asia,Master’s degree,< 1 years,250-999 employees,1-2,Kaggle
449,45-49,Man,Russia,Asia,I prefer not to answer,1-3 years,"1000-9,999 employees",10-14,
450,25-29,Man,Malaysia,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",20+,
451,25-29,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,"1000-9,999 employees",0,GitHub
451,25-29,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,"1000-9,999 employees",0,Kaggle
451,25-29,Man,Japan,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,"1000-9,999 employees",0,Colab
452,30-34,Man,United States of America,América del Norte,Master’s degree,< 1 years,"10,000 or more employees",20+,I do not share my work publicly
453,30-34,Woman,Czech Republic,Europa,Master’s degree,< 1 years,250-999 employees,20+,GitHub
454,25-29,Man,Other,,Bachelor’s degree,5-10 years,0-49 employees,1-2,NBViewer
454,25-29,Man,Other,,Bachelor’s degree,5-10 years,0-49 employees,1-2,GitHub
454,25-29,Man,Other,,Bachelor’s degree,5-10 years,0-49 employees,1-2,Kaggle
455,22-24,Man,Indonesia,Asia,No formal education past high school,I have never written code,0-49 employees,0,
456,35-39,Man,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",0,GitHub
456,35-39,Man,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",0,Kaggle
456,35-39,Man,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",0,Colab
457,25-29,Man,Canada,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",3-4,GitHub
457,25-29,Man,Canada,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",3-4,Colab
458,22-24,Woman,I do not wish to disclose my location,NS/NC,Doctoral degree,1-3 years,50-249 employees,3-4,
459,35-39,Man,India,Asia,Some college/university study without earning a bachelor’s degree,I have never written code,"10,000 or more employees",20+,
460,35-39,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,I do not share my work publicly
461,40-44,Man,United States of America,América del Norte,Bachelor’s degree,10-20 years,"10,000 or more employees",20+,I do not share my work publicly
462,30-34,Man,South Korea,Asia,Master’s degree,< 1 years,50-249 employees,5-9,
463,30-34,Man,Other,,Master’s degree,5-10 years,50-249 employees,1-2,I do not share my work publicly
464,25-29,Man,Turkey,África,Bachelor’s degree,1-3 years,,,
465,22-24,Man,Brazil,América del Sur,Master’s degree,1-3 years,"1000-9,999 employees",20+,
466,35-39,Man,Nigeria,África,Master’s degree,< 1 years,0-49 employees,3-4,GitHub
466,35-39,Man,Nigeria,África,Master’s degree,< 1 years,0-49 employees,3-4,Colab
467,25-29,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,10-14,GitHub
467,25-29,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,10-14,Kaggle
467,25-29,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,10-14,Colab
468,40-44,Man,India,Asia,Master’s degree,10-20 years,"10,000 or more employees",0,
469,22-24,Man,Indonesia,Asia,Bachelor’s degree,I have never written code,"10,000 or more employees",20+,
470,25-29,Man,United States of America,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",3-4,GitHub
470,25-29,Man,United States of America,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",3-4,Personal blog
470,25-29,Man,United States of America,América del Norte,Master’s degree,1-3 years,"1000-9,999 employees",3-4,Kaggle
471,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,
472,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",1-2,I do not share my work publicly
473,25-29,Man,Other,,Master’s degree,1-3 years,0-49 employees,3-4,GitHub
473,25-29,Man,Other,,Master’s degree,1-3 years,0-49 employees,3-4,Kaggle
474,35-39,Man,United States of America,América del Norte,Master’s degree,3-5 years,"1000-9,999 employees",0,I do not share my work publicly
475,30-34,Nonbinary,United States of America,América del Norte,Master’s degree,3-5 years,"1000-9,999 employees",20+,I do not share my work publicly
476,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,1-2,
477,60-69,Man,Pakistan,Asia,Bachelor’s degree,10-20 years,0-49 employees,1-2,Other
478,40-44,Man,Bangladesh,Asia,Master’s degree,< 1 years,0-49 employees,1-2,I do not share my work publicly
479,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,0-49 employees,1-2,Kaggle
480,35-39,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,"1000-9,999 employees",5-9,
481,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",15-19,GitHub
481,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",15-19,Colab
482,40-44,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",0,Other
483,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",20+,I do not share my work publicly
484,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,"1000-9,999 employees",0,I do not share my work publicly
485,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,I do not share my work publicly
486,40-44,Man,Taiwan,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,GitHub
486,40-44,Man,Taiwan,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,Kaggle
487,18-21,Man,Nigeria,África,Bachelor’s degree,1-3 years,0-49 employees,,
488,25-29,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,Streamlit
488,25-29,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,GitHub
488,25-29,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,Kaggle
488,25-29,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,Colab
488,25-29,Man,India,Asia,Master’s degree,5-10 years,250-999 employees,3-4,Shiny
489,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4,
490,22-24,Man,Peru,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,10-14,GitHub
490,22-24,Man,Peru,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,10-14,Kaggle
491,35-39,Man,Russia,Asia,Bachelor’s degree,< 1 years,,,
492,35-39,Man,Germany,Europa,Doctoral degree,5-10 years,,,
493,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,0,I do not share my work publicly
494,18-21,Man,Russia,Asia,Bachelor’s degree,3-5 years,250-999 employees,3-4,I do not share my work publicly
495,35-39,Man,United States of America,América del Norte,Master’s degree,< 1 years,"1000-9,999 employees",3-4,I do not share my work publicly
496,30-34,Man,France,Europa,Master’s degree,3-5 years,50-249 employees,5-9,GitHub
496,30-34,Man,France,Europa,Master’s degree,3-5 years,50-249 employees,5-9,Personal blog
497,30-34,Woman,India,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,
498,30-34,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9,
499,40-44,Man,United States of America,América del Norte,Master’s degree,I have never written code,0-49 employees,1-2,
500,50-54,Woman,Netherlands,Europa,Master’s degree,10-20 years,"1000-9,999 employees",20+,I do not share my work publicly
501,25-29,Woman,Malaysia,Asia,Bachelor’s degree,I have never written code,"1000-9,999 employees",3-4,
502,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,I do not share my work publicly
503,25-29,Man,Other,,Professional doctorate,< 1 years,0-49 employees,1-2,GitHub
503,25-29,Man,Other,,Professional doctorate,< 1 years,0-49 employees,1-2,Kaggle
503,25-29,Man,Other,,Professional doctorate,< 1 years,0-49 employees,1-2,Shiny
504,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,50-249 employees,3-4,
505,25-29,Man,Portugal,Europa,Master’s degree,1-3 years,0-49 employees,0,
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,Plotly Dash
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,Streamlit
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,GitHub
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,Colab
507,22-24,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,0-49 employees,1-2,
508,25-29,Woman,Thailand,Asia,Master’s degree,I have never written code,"1000-9,999 employees",5-9,
509,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,20+,GitHub
509,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,20+,Kaggle
509,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,20+,Colab
510,22-24,Man,India,Asia,Master’s degree,I have never written code,0-49 employees,1-2,
511,25-29,Man,United States of America,América del Norte,Bachelor’s degree,< 1 years,250-999 employees,1-2,
512,35-39,Man,Egypt,África,Bachelor’s degree,I have never written code,"1000-9,999 employees",5-9,
513,25-29,Woman,Other,,Bachelor’s degree,3-5 years,0-49 employees,0,GitHub
513,25-29,Woman,Other,,Bachelor’s degree,3-5 years,0-49 employees,0,Kaggle
514,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,,,
515,45-49,Man,Nigeria,África,Bachelor’s degree,10-20 years,"10,000 or more employees",5-9,I do not share my work publicly
516,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,0,I do not share my work publicly
517,25-29,Man,Japan,Asia,Bachelor’s degree,< 1 years,"1000-9,999 employees",0,
518,40-44,Man,Peru,América del Sur,Bachelor’s degree,10-20 years,0-49 employees,3-4,GitHub
518,40-44,Man,Peru,América del Sur,Bachelor’s degree,10-20 years,0-49 employees,3-4,Personal blog
518,40-44,Man,Peru,América del Sur,Bachelor’s degree,10-20 years,0-49 employees,3-4,Other
519,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",5-9,GitHub
519,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",5-9,Kaggle
520,22-24,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,
521,35-39,Man,Turkey,África,Doctoral degree,5-10 years,"10,000 or more employees",0,I do not share my work publicly
522,45-49,Man,Singapore,Asia,Master’s degree,3-5 years,"1000-9,999 employees",5-9,GitHub
523,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,"1000-9,999 employees",1-2,
524,50-54,Man,Spain,Europa,Doctoral degree,20+ years,250-999 employees,5-9,I do not share my work publicly
525,30-34,Woman,Sweden,Europa,No formal education past high school,< 1 years,50-249 employees,,
526,22-24,Man,India,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,0,I do not share my work publicly
527,40-44,Man,United States of America,América del Norte,Master’s degree,3-5 years,50-249 employees,5-9,
528,35-39,Man,Spain,Europa,Master’s degree,10-20 years,50-249 employees,0,
529,25-29,Woman,China,Asia,Master’s degree,< 1 years,0-49 employees,0,GitHub
529,25-29,Woman,China,Asia,Master’s degree,< 1 years,0-49 employees,0,Kaggle
529,25-29,Woman,China,Asia,Master’s degree,< 1 years,0-49 employees,0,Colab
530,30-34,Man,Ukraine,Europa,No formal education past high school,< 1 years,250-999 employees,15-19,GitHub
530,30-34,Man,Ukraine,Europa,No formal education past high school,< 1 years,250-999 employees,15-19,Kaggle
531,35-39,Man,Other,,Bachelor’s degree,1-3 years,0-49 employees,0,
532,30-34,Woman,France,Europa,Master’s degree,1-3 years,250-999 employees,1-2,Other
533,25-29,Man,Poland,Europa,Master’s degree,3-5 years,0-49 employees,3-4,I do not share my work publicly
534,35-39,Woman,United States of America,América del Norte,Master’s degree,1-3 years,250-999 employees,10-14,GitHub
534,35-39,Woman,United States of America,América del Norte,Master’s degree,1-3 years,250-999 employees,10-14,Colab
535,25-29,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,3-4,I do not share my work publicly
536,25-29,Man,Other,,Master’s degree,1-3 years,,,
537,18-21,Man,India,Asia,No formal education past high school,3-5 years,50-249 employees,5-9,
538,40-44,Man,Japan,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",3-4,Colab
539,25-29,Man,Australia,Oceanía,Master’s degree,1-3 years,,,
540,35-39,Man,Nigeria,África,Bachelor’s degree,< 1 years,0-49 employees,3-4,
541,40-44,Man,India,Asia,Master’s degree,3-5 years,250-999 employees,10-14,I do not share my work publicly
542,25-29,Woman,Viet Nam,Asia,Bachelor’s degree,< 1 years,0-49 employees,,
543,35-39,Man,Other,,Bachelor’s degree,1-3 years,50-249 employees,1-2,
544,22-24,Man,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,
545,30-34,Man,Nigeria,África,Master’s degree,1-3 years,"1000-9,999 employees",20+,GitHub
545,30-34,Man,Nigeria,África,Master’s degree,1-3 years,"1000-9,999 employees",20+,Kaggle
546,35-39,Man,Germany,Europa,Master’s degree,5-10 years,"1000-9,999 employees",0,I do not share my work publicly
547,45-49,Man,Belgium,Europa,Bachelor’s degree,10-20 years,"1000-9,999 employees",3-4,I do not share my work publicly
548,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,
549,18-21,Man,Philippines,Asia,No formal education past high school,< 1 years,250-999 employees,0,
550,22-24,Man,Viet Nam,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,"1000-9,999 employees",1-2,GitHub
550,22-24,Man,Viet Nam,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,"1000-9,999 employees",1-2,Kaggle
550,22-24,Man,Viet Nam,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,"1000-9,999 employees",1-2,Colab
551,22-24,Woman,Iraq,Asia,Bachelor’s degree,1-3 years,,,
552,25-29,Man,Nigeria,África,Bachelor’s degree,1-3 years,250-999 employees,1-2,I do not share my work publicly
553,25-29,Man,India,Asia,Master’s degree,I have never written code,50-249 employees,1-2,
554,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,0,GitHub
555,25-29,Man,Morocco,África,Master’s degree,5-10 years,0-49 employees,1-2,I do not share my work publicly
556,25-29,Woman,South Korea,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,
557,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,250-999 employees,20+,
558,45-49,Man,Spain,Europa,Doctoral degree,5-10 years,"1000-9,999 employees",5-9,Plotly Dash
558,45-49,Man,Spain,Europa,Doctoral degree,5-10 years,"1000-9,999 employees",5-9,Personal blog
558,45-49,Man,Spain,Europa,Doctoral degree,5-10 years,"1000-9,999 employees",5-9,Shiny
559,40-44,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,"10,000 or more employees",20+,Kaggle
560,25-29,Man,Italy,Europa,Master’s degree,3-5 years,"1000-9,999 employees",5-9,I do not share my work publicly
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,GitHub
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Kaggle
562,25-29,Woman,India,Asia,Master’s degree,1-3 years,0-49 employees,1-2,Kaggle
563,35-39,Man,India,Asia,Master’s degree,1-3 years,0-49 employees,1-2,
564,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",0,
565,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,"10,000 or more employees",20+,
566,50-54,Man,Australia,Oceanía,Master’s degree,20+ years,"10,000 or more employees",5-9,I do not share my work publicly
567,30-34,Woman,India,Asia,Master’s degree,5-10 years,50-249 employees,5-9,I do not share my work publicly
568,35-39,Man,Thailand,Asia,Bachelor’s degree,1-3 years,250-999 employees,1-2,GitHub
568,35-39,Man,Thailand,Asia,Bachelor’s degree,1-3 years,250-999 employees,1-2,Personal blog
568,35-39,Man,Thailand,Asia,Bachelor’s degree,1-3 years,250-999 employees,1-2,Colab
568,35-39,Man,Thailand,Asia,Bachelor’s degree,1-3 years,250-999 employees,1-2,Other
569,35-39,Man,United Arab Emirates,Asia,Master’s degree,10-20 years,50-249 employees,1-2,
570,22-24,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,0-49 employees,5-9,GitHub
570,22-24,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,0-49 employees,5-9,Kaggle
571,45-49,Man,Kenya,África,Bachelor’s degree,20+ years,"1000-9,999 employees",10-14,Personal blog
571,45-49,Man,Kenya,África,Bachelor’s degree,20+ years,"1000-9,999 employees",10-14,Colab
572,30-34,Man,Brazil,América del Sur,Bachelor’s degree,< 1 years,250-999 employees,5-9,GitHub
573,25-29,Man,Nigeria,África,Bachelor’s degree,I have never written code,50-249 employees,1-2,
574,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,"1000-9,999 employees",15-19,
575,40-44,Man,Ireland,Europa,Doctoral degree,1-3 years,250-999 employees,1-2,GitHub
575,40-44,Man,Ireland,Europa,Doctoral degree,1-3 years,250-999 employees,1-2,Kaggle
576,25-29,Man,Pakistan,Asia,Master’s degree,3-5 years,250-999 employees,1-2,Personal blog
576,25-29,Man,Pakistan,Asia,Master’s degree,3-5 years,250-999 employees,1-2,Kaggle
577,40-44,Man,India,Asia,Bachelor’s degree,10-20 years,"10,000 or more employees",20+,I do not share my work publicly
578,35-39,Man,China,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,0-49 employees,3-4,I do not share my work publicly
579,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,GitHub
580,50-54,Man,Australia,Oceanía,Master’s degree,20+ years,"10,000 or more employees",20+,
581,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,0-49 employees,5-9,GitHub
581,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,0-49 employees,5-9,Kaggle
582,45-49,Man,Brazil,América del Sur,Master’s degree,5-10 years,250-999 employees,1-2,
583,55-59,Man,United States of America,América del Norte,Master’s degree,5-10 years,0-49 employees,1-2,GitHub
583,55-59,Man,United States of America,América del Norte,Master’s degree,5-10 years,0-49 employees,1-2,Personal blog
584,22-24,Man,India,Asia,Master’s degree,< 1 years,250-999 employees,10-14,GitHub
585,22-24,Man,China,Asia,Master’s degree,3-5 years,0-49 employees,5-9,I do not share my work publicly
586,45-49,Woman,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,"10,000 or more employees",3-4,
587,25-29,Woman,Israel,Asia,I prefer not to answer,< 1 years,0-49 employees,3-4,Streamlit
587,25-29,Woman,Israel,Asia,I prefer not to answer,< 1 years,0-49 employees,3-4,GitHub
588,35-39,Woman,Argentina,América del Sur,Bachelor’s degree,< 1 years,50-249 employees,1-2,
589,25-29,Man,Taiwan,Asia,Master’s degree,1-3 years,50-249 employees,5-9,GitHub
590,30-34,Man,India,Asia,Master’s degree,1-3 years,0-49 employees,3-4,GitHub
590,30-34,Man,India,Asia,Master’s degree,1-3 years,0-49 employees,3-4,Kaggle
590,30-34,Man,India,Asia,Master’s degree,1-3 years,0-49 employees,3-4,Colab
591,22-24,Man,Kenya,África,Some college/university study without earning a bachelor’s degree,1-3 years,,,
592,35-39,Man,United States of America,América del Norte,Master’s degree,5-10 years,"1000-9,999 employees",5-9,I do not share my work publicly
593,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",10-14,
594,25-29,Woman,Nigeria,África,Master’s degree,I have never written code,0-49 employees,15-19,
595,30-34,Man,Thailand,Asia,Master’s degree,1-3 years,250-999 employees,1-2,Streamlit
595,30-34,Man,Thailand,Asia,Master’s degree,1-3 years,250-999 employees,1-2,GitHub
595,30-34,Man,Thailand,Asia,Master’s degree,1-3 years,250-999 employees,1-2,Colab
596,30-34,Man,Japan,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",5-9,GitHub
596,30-34,Man,Japan,Asia,Bachelor’s degree,3-5 years,"1000-9,999 employees",5-9,Kaggle
597,22-24,Man,India,Asia,Master’s degree,< 1 years,250-999 employees,3-4,GitHub
597,22-24,Man,India,Asia,Master’s degree,< 1 years,250-999 employees,3-4,Kaggle
598,18-21,Man,China,Asia,Bachelor’s degree,< 1 years,0-49 employees,0,
599,50-54,Man,United States of America,América del Norte,Bachelor’s degree,10-20 years,"10,000 or more employees",20+,I do not share my work publicly
600,45-49,Man,Canada,América del Norte,Master’s degree,20+ years,"10,000 or more employees",20+,I do not share my work publicly
