,age,gender,q3,continente,q4,q6,q8,q21,q22,q34
462,30-34,Man,South Korea,Asia,Master’s degree,< 1 years,Python,50-249 employees,5-9,
463,30-34,Man,Other,,Master’s degree,5-10 years,Python,50-249 employees,1-2, None
464,25-29,Man,Turkey,África,Bachelor’s degree,1-3 years,Python,,,
465,22-24,Man,Brazil,América del Sur,Master’s degree,1-3 years,Python,"1000-9,999 employees",20+,
466,35-39,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,3-4, Microsoft Power BI
466,35-39,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,3-4, Tableau
467,25-29,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,10-14, Tableau
467,25-29,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,10-14, Alteryx 
468,40-44,Man,India,Asia,Master’s degree,10-20 years,Python,"10,000 or more employees",0, Qlik
469,22-24,Man,Indonesia,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",20+,
470,25-29,Man,United States of America,América del Norte,Master’s degree,1-3 years,Python,"1000-9,999 employees",3-4, None
471,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,0,
472,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",1-2, None
473,25-29,Man,Other,,Master’s degree,1-3 years,Python,0-49 employees,3-4, Tableau
474,35-39,Man,United States of America,América del Norte,Master’s degree,3-5 years,Python,"1000-9,999 employees",0, Tableau
475,30-34,Nonbinary,United States of America,América del Norte,Master’s degree,3-5 years,Python,"1000-9,999 employees",20+, Tableau
476,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,0-49 employees,1-2,
477,60-69,Man,Pakistan,Asia,Bachelor’s degree,10-20 years,Python,0-49 employees,1-2, None
478,40-44,Man,Bangladesh,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Microsoft Power BI
478,40-44,Man,Bangladesh,Asia,Master’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
479,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Microsoft Power BI
479,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
480,35-39,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,,"1000-9,999 employees",5-9,
481,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,R,"10,000 or more employees",15-19, Microsoft Power BI
482,40-44,Man,India,Asia,Master’s degree,< 1 years,Python,"10,000 or more employees",0, Tableau
483,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Google Data Studio
483,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Tableau
483,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Salesforce
484,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",0, Microsoft Power BI
485,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4, Tableau
486,40-44,Man,Taiwan,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2, None
487,18-21,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,0-49 employees,,
488,25-29,Man,India,Asia,Master’s degree,5-10 years,Python,250-999 employees,3-4, Microsoft Power BI
488,25-29,Man,India,Asia,Master’s degree,5-10 years,Python,250-999 employees,3-4, Tableau
489,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4,
490,22-24,Man,Peru,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,250-999 employees,10-14, Google Data Studio
490,22-24,Man,Peru,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,250-999 employees,10-14, Looker
491,35-39,Man,Russia,Asia,Bachelor’s degree,< 1 years,Python,,,
492,35-39,Man,Germany,Europa,Doctoral degree,5-10 years,MATLAB,,,
493,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,SQL,50-249 employees,0, Google Data Studio
493,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,SQL,50-249 employees,0, Tableau
494,18-21,Man,Russia,Asia,Bachelor’s degree,3-5 years,Python,250-999 employees,3-4, Microsoft Power BI
495,35-39,Man,United States of America,América del Norte,Master’s degree,< 1 years,Python,"1000-9,999 employees",3-4, Other
496,30-34,Man,France,Europa,Master’s degree,3-5 years,SQL,50-249 employees,5-9, Tableau
497,30-34,Woman,India,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",20+,
498,30-34,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,Python,"1000-9,999 employees",5-9,
499,40-44,Man,United States of America,América del Norte,Master’s degree,I have never written code,,0-49 employees,1-2,
500,50-54,Woman,Netherlands,Europa,Master’s degree,10-20 years,Python,"1000-9,999 employees",20+, Microsoft Power BI
501,25-29,Woman,Malaysia,Asia,Bachelor’s degree,I have never written code,,"1000-9,999 employees",3-4,
502,25-29,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, None
503,25-29,Man,Other,,Professional doctorate,< 1 years,Python,0-49 employees,1-2, Google Data Studio
504,22-24,Man,India,Asia,Bachelor’s degree,I have never written code,,50-249 employees,3-4,
505,25-29,Man,Portugal,Europa,Master’s degree,1-3 years,Python,0-49 employees,0,
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+, Microsoft Power BI
506,30-34,Man,Russia,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+, Tableau
507,22-24,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,1-2,
508,25-29,Woman,Thailand,Asia,Master’s degree,I have never written code,,"1000-9,999 employees",5-9,
509,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,250-999 employees,20+, None
510,22-24,Man,India,Asia,Master’s degree,I have never written code,,0-49 employees,1-2,
511,25-29,Man,United States of America,América del Norte,Bachelor’s degree,< 1 years,SQL,250-999 employees,1-2,
512,35-39,Man,Egypt,África,Bachelor’s degree,I have never written code,,"1000-9,999 employees",5-9,
513,25-29,Woman,Other,,Bachelor’s degree,3-5 years,C++,0-49 employees,0, Google Data Studio
513,25-29,Woman,Other,,Bachelor’s degree,3-5 years,C++,0-49 employees,0, Tableau
514,22-24,Man,India,Asia,Bachelor’s degree,3-5 years,Python,,,
515,45-49,Man,Nigeria,África,Bachelor’s degree,10-20 years,Python,"10,000 or more employees",5-9, Microsoft Power BI
516,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,0-49 employees,0, None
517,25-29,Man,Japan,Asia,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",0,
518,40-44,Man,Peru,América del Sur,Bachelor’s degree,10-20 years,Python,0-49 employees,3-4, Microsoft Power BI
519,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Java,"10,000 or more employees",5-9, Microsoft Power BI
519,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,Java,"10,000 or more employees",5-9, Tableau
520,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,50-249 employees,3-4,
521,35-39,Man,Turkey,África,Doctoral degree,5-10 years,Python,"10,000 or more employees",0, None
522,45-49,Man,Singapore,Asia,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9, Tableau
522,45-49,Man,Singapore,Asia,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9, Qlik
523,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,SQL,"1000-9,999 employees",1-2,
524,50-54,Man,Spain,Europa,Doctoral degree,20+ years,R,250-999 employees,5-9, Microsoft Power BI
524,50-54,Man,Spain,Europa,Doctoral degree,20+ years,R,250-999 employees,5-9, Tableau
525,30-34,Woman,Sweden,Europa,No formal education past high school,< 1 years,SQL,50-249 employees,,
526,22-24,Man,India,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,Python,0-49 employees,0, None
527,40-44,Man,United States of America,América del Norte,Master’s degree,3-5 years,Python,50-249 employees,5-9, Tableau
528,35-39,Man,Spain,Europa,Master’s degree,10-20 years,Python,50-249 employees,0,
529,25-29,Woman,China,Asia,Master’s degree,< 1 years,Python,0-49 employees,0, Tableau
530,30-34,Man,Ukraine,Europa,No formal education past high school,< 1 years,Python,250-999 employees,15-19, Microsoft Power BI
531,35-39,Man,Other,,Bachelor’s degree,1-3 years,SQL,0-49 employees,0,
532,30-34,Woman,France,Europa,Master’s degree,1-3 years,Python,250-999 employees,1-2, Microsoft Power BI
532,30-34,Woman,France,Europa,Master’s degree,1-3 years,Python,250-999 employees,1-2, Tableau
533,25-29,Man,Poland,Europa,Master’s degree,3-5 years,Python,0-49 employees,3-4, Tableau
534,35-39,Woman,United States of America,América del Norte,Master’s degree,1-3 years,R,250-999 employees,10-14, Tableau
535,25-29,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,R,250-999 employees,3-4, Google Data Studio
535,25-29,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,R,250-999 employees,3-4, Looker
535,25-29,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,R,250-999 employees,3-4, Microsoft Azure Synapse 
536,25-29,Man,Other,,Master’s degree,1-3 years,Python,,,
537,18-21,Man,India,Asia,No formal education past high school,3-5 years,Python,50-249 employees,5-9,
538,40-44,Man,Japan,Asia,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",3-4, Tableau
539,25-29,Man,Australia,Oceanía,Master’s degree,1-3 years,Python,,,
540,35-39,Man,Nigeria,África,Bachelor’s degree,< 1 years,Python,0-49 employees,3-4,
541,40-44,Man,India,Asia,Master’s degree,3-5 years,Other,250-999 employees,10-14, Other
542,25-29,Woman,Viet Nam,Asia,Bachelor’s degree,< 1 years,SQL,0-49 employees,,
543,35-39,Man,Other,,Bachelor’s degree,1-3 years,Other,50-249 employees,1-2,
544,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+,
545,30-34,Man,Nigeria,África,Master’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Microsoft Power BI
545,30-34,Man,Nigeria,África,Master’s degree,1-3 years,SQL,"1000-9,999 employees",20+, Tableau
546,35-39,Man,Germany,Europa,Master’s degree,5-10 years,SQL,"1000-9,999 employees",0, Qlik
547,45-49,Man,Belgium,Europa,Bachelor’s degree,10-20 years,SQL,"1000-9,999 employees",3-4, None
548,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,
549,18-21,Man,Philippines,Asia,No formal education past high school,< 1 years,Python,250-999 employees,0,
550,22-24,Man,Viet Nam,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Python,"1000-9,999 employees",1-2, Microsoft Power BI
551,22-24,Woman,Iraq,Asia,Bachelor’s degree,1-3 years,Python,,,
552,25-29,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,250-999 employees,1-2, None
553,25-29,Man,India,Asia,Master’s degree,I have never written code,,50-249 employees,1-2,
554,18-21,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,C++,0-49 employees,0, None
555,25-29,Man,Morocco,África,Master’s degree,5-10 years,Python,0-49 employees,1-2, None
556,25-29,Woman,South Korea,Asia,Bachelor’s degree,1-3 years,R,0-49 employees,3-4,
557,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,Python,250-999 employees,20+,
558,45-49,Man,Spain,Europa,Doctoral degree,5-10 years,Java,"1000-9,999 employees",5-9, Tableau
558,45-49,Man,Spain,Europa,Doctoral degree,5-10 years,Java,"1000-9,999 employees",5-9, Tableau CRM
559,40-44,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,Python,"10,000 or more employees",20+, Microsoft Power BI
560,25-29,Man,Italy,Europa,Master’s degree,3-5 years,Python,"1000-9,999 employees",5-9, Qlik
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Microsoft Power BI
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Salesforce
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Tableau CRM
561,35-39,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Python,"10,000 or more employees",20+, Alteryx 
562,25-29,Woman,India,Asia,Master’s degree,1-3 years,Python,0-49 employees,1-2, Tableau
563,35-39,Man,India,Asia,Master’s degree,1-3 years,SQL,0-49 employees,1-2,
564,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",0,
565,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",20+,
566,50-54,Man,Australia,Oceanía,Master’s degree,20+ years,SQL,"10,000 or more employees",5-9, Tableau
567,30-34,Woman,India,Asia,Master’s degree,5-10 years,SQL,50-249 employees,5-9, Tableau
568,35-39,Man,Thailand,Asia,Bachelor’s degree,1-3 years,SQL,250-999 employees,1-2, Tableau
569,35-39,Man,United Arab Emirates,Asia,Master’s degree,10-20 years,Python,50-249 employees,1-2,
570,22-24,Man,Indonesia,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,5-9, Google Data Studio
571,45-49,Man,Kenya,África,Bachelor’s degree,20+ years,R,"1000-9,999 employees",10-14, Microsoft Power BI
571,45-49,Man,Kenya,África,Bachelor’s degree,20+ years,R,"1000-9,999 employees",10-14, Google Data Studio
572,30-34,Man,Brazil,América del Sur,Bachelor’s degree,< 1 years,Python,250-999 employees,5-9, None
573,25-29,Man,Nigeria,África,Bachelor’s degree,I have never written code,,50-249 employees,1-2,
574,18-21,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",15-19,
575,40-44,Man,Ireland,Europa,Doctoral degree,1-3 years,None,250-999 employees,1-2, Microsoft Power BI
576,25-29,Man,Pakistan,Asia,Master’s degree,3-5 years,Python,250-999 employees,1-2, Microsoft Power BI
576,25-29,Man,Pakistan,Asia,Master’s degree,3-5 years,Python,250-999 employees,1-2, Tableau
577,40-44,Man,India,Asia,Bachelor’s degree,10-20 years,Python,"10,000 or more employees",20+,Amazon QuickSight
577,40-44,Man,India,Asia,Bachelor’s degree,10-20 years,Python,"10,000 or more employees",20+, Other
578,35-39,Man,China,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,Python,0-49 employees,3-4, None
579,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,Python,0-49 employees,3-4, None
580,50-54,Man,Australia,Oceanía,Master’s degree,20+ years,Python,"10,000 or more employees",20+,
581,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,0-49 employees,5-9, Microsoft Power BI
581,22-24,Man,Nigeria,África,Bachelor’s degree,1-3 years,Python,0-49 employees,5-9, Tableau
582,45-49,Man,Brazil,América del Sur,Master’s degree,5-10 years,Python,250-999 employees,1-2,
583,55-59,Man,United States of America,América del Norte,Master’s degree,5-10 years,Python,0-49 employees,1-2, Tableau
583,55-59,Man,United States of America,América del Norte,Master’s degree,5-10 years,Python,0-49 employees,1-2, Microsoft Azure Synapse 
584,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14, Microsoft Power BI
584,22-24,Man,India,Asia,Master’s degree,< 1 years,Python,250-999 employees,10-14, Tableau CRM
585,22-24,Man,China,Asia,Master’s degree,3-5 years,Python,0-49 employees,5-9, None
586,45-49,Woman,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,1-3 years,SQL,"10,000 or more employees",3-4,
587,25-29,Woman,Israel,Asia,I prefer not to answer,< 1 years,Python,0-49 employees,3-4, SAP Analytics Cloud 
588,35-39,Woman,Argentina,América del Sur,Bachelor’s degree,< 1 years,Python,50-249 employees,1-2,
589,25-29,Man,Taiwan,Asia,Master’s degree,1-3 years,None,50-249 employees,5-9, None
590,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,0-49 employees,3-4, Microsoft Power BI
590,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,0-49 employees,3-4, Tableau
591,22-24,Man,Kenya,África,Some college/university study without earning a bachelor’s degree,1-3 years,Javascript,,,
592,35-39,Man,United States of America,América del Norte,Master’s degree,5-10 years,SQL,"1000-9,999 employees",5-9, Microsoft Power BI
593,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,Python,"10,000 or more employees",10-14,
594,25-29,Woman,Nigeria,África,Master’s degree,I have never written code,,0-49 employees,15-19,
595,30-34,Man,Thailand,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2, Microsoft Power BI
595,30-34,Man,Thailand,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2, Tableau
596,30-34,Man,Japan,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",5-9, Qlik
597,22-24,Man,India,Asia,Master’s degree,< 1 years,R,250-999 employees,3-4, None
598,18-21,Man,China,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,0,
599,50-54,Man,United States of America,América del Norte,Bachelor’s degree,10-20 years,Python,"10,000 or more employees",20+, Tableau
599,50-54,Man,United States of America,América del Norte,Bachelor’s degree,10-20 years,Python,"10,000 or more employees",20+, Qlik
600,45-49,Man,Canada,América del Norte,Master’s degree,20+ years,Python,"10,000 or more employees",20+, Other
601,25-29,Man,China,Asia,Bachelor’s degree,3-5 years,Python,"1000-9,999 employees",3-4, Tableau CRM
602,40-44,Man,Other,,Some college/university study without earning a bachelor’s degree,< 1 years,R,0-49 employees,0, None
603,35-39,Woman,Brazil,América del Sur,Master’s degree,< 1 years,SQL,"1000-9,999 employees",1-2,
604,22-24,Man,Other,,Master’s degree,1-3 years,Python,50-249 employees,0,
605,22-24,Man,Russia,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2,
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9,Amazon QuickSight
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9, Google Data Studio
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9, Looker
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9, Tableau
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9, TIBCO Spotfire
606,40-44,Man,Egypt,África,Bachelor’s degree,1-3 years,R,0-49 employees,5-9, Microsoft Azure Synapse 
607,25-29,Woman,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
608,30-34,Man,Poland,Europa,Master’s degree,1-3 years,Python,"10,000 or more employees",0,
609,22-24,Woman,India,Asia,Bachelor’s degree,< 1 years,Python,50-249 employees,3-4,
610,30-34,Man,Mexico,América del Sur,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Microsoft Power BI
610,30-34,Man,Mexico,América del Sur,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Tableau
610,30-34,Man,Mexico,América del Sur,Bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Salesforce
611,40-44,Woman,United States of America,América del Norte,Doctoral degree,5-10 years,Python,"10,000 or more employees",20+,
612,22-24,Man,India,Asia,Master’s degree,3-5 years,Python,"10,000 or more employees",20+, None
613,30-34,Man,India,Asia,Doctoral degree,3-5 years,Python,250-999 employees,1-2,
614,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,3-5 years,Python,"10,000 or more employees",20+,
615,50-54,Man,Poland,Europa,No formal education past high school,10-20 years,R,0-49 employees,0,
616,40-44,Man,India,Asia,Master’s degree,10-20 years,Python,"10,000 or more employees",20+, Microsoft Power BI
616,40-44,Man,India,Asia,Master’s degree,10-20 years,Python,"10,000 or more employees",20+, Tableau
617,22-24,Woman,Indonesia,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, Google Data Studio
617,22-24,Woman,Indonesia,Asia,Bachelor’s degree,< 1 years,Python,0-49 employees,1-2, Tableau
618,35-39,Man,Ghana,África,Bachelor’s degree,I have never written code,,"1000-9,999 employees",10-14,
619,30-34,Woman,Other,,Master’s degree,< 1 years,Python,"1000-9,999 employees",5-9, Microsoft Power BI
620,35-39,Man,Hong Kong (S.A.R.),Asia,Bachelor’s degree,10-20 years,SQL,250-999 employees,1-2, Microsoft Power BI
620,35-39,Man,Hong Kong (S.A.R.),Asia,Bachelor’s degree,10-20 years,SQL,250-999 employees,1-2, Tableau
620,35-39,Man,Hong Kong (S.A.R.),Asia,Bachelor’s degree,10-20 years,SQL,250-999 employees,1-2, Qlik
621,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"10,000 or more employees",0, Microsoft Power BI
621,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,SQL,"10,000 or more employees",0, Tableau
622,35-39,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,Python,"10,000 or more employees",20+, Google Data Studio
623,40-44,Man,Morocco,África,Master’s degree,1-3 years,Python,250-999 employees,1-2,
624,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,3-4,
625,25-29,Woman,Czech Republic,Europa,Master’s degree,< 1 years,Python,50-249 employees,5-9, Microsoft Power BI
625,25-29,Woman,Czech Republic,Europa,Master’s degree,< 1 years,Python,50-249 employees,5-9, Tableau CRM
626,18-21,Man,India,Asia,Bachelor’s degree,3-5 years,Python,50-249 employees,3-4,
627,30-34,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",0,
628,25-29,Man,China,Asia,Master’s degree,1-3 years,Python,0-49 employees,3-4, None
629,18-21,Man,India,Asia,Master’s degree,3-5 years,C++,0-49 employees,0,
630,30-34,Man,Nigeria,África,Master’s degree,5-10 years,Python,"1000-9,999 employees",3-4, Microsoft Power BI
630,30-34,Man,Nigeria,África,Master’s degree,5-10 years,Python,"1000-9,999 employees",3-4, Google Data Studio
630,30-34,Man,Nigeria,África,Master’s degree,5-10 years,Python,"1000-9,999 employees",3-4, Tableau
631,50-54,Woman,Japan,Asia,No formal education past high school,20+ years,SQL,0-49 employees,3-4, Tableau
631,50-54,Woman,Japan,Asia,No formal education past high school,20+ years,SQL,0-49 employees,3-4, Tableau CRM
631,50-54,Woman,Japan,Asia,No formal education past high school,20+ years,SQL,0-49 employees,3-4, Other
632,25-29,Man,Nigeria,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Other
633,18-21,Woman,China,Asia,Bachelor’s degree,< 1 years,SQL,250-999 employees,5-9,
634,30-34,Woman,China,Asia,Master’s degree,1-3 years,Python,250-999 employees,1-2, Tableau
635,45-49,Man,Other,,Bachelor’s degree,10-20 years,Python,250-999 employees,3-4, None
636,25-29,Man,Egypt,África,Master’s degree,< 1 years,Python,0-49 employees,1-2, Microsoft Power BI
637,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,C++,0-49 employees,1-2, None
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9,Amazon QuickSight
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Microsoft Power BI
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Google Data Studio
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Tableau
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Salesforce
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Sisense 
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, SAP Analytics Cloud 
638,35-39,Man,Brazil,América del Sur,Master’s degree,3-5 years,R,50-249 employees,5-9, Microsoft Azure Synapse 
639,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",10-14, Microsoft Power BI
639,22-24,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",10-14, Tableau
640,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,Python,50-249 employees,10-14, Tableau CRM
641,30-34,Man,United States of America,América del Norte,Master’s degree,5-10 years,SQL,0-49 employees,1-2, Tableau
642,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,Python,"10,000 or more employees",20+, Microsoft Power BI
642,35-39,Man,Russia,Asia,Some college/university study without earning a bachelor’s degree,3-5 years,Python,"10,000 or more employees",20+, Tableau CRM
643,30-34,Man,Other,,Master’s degree,1-3 years,Python,0-49 employees,1-2, Microsoft Power BI
643,30-34,Man,Other,,Master’s degree,1-3 years,Python,0-49 employees,1-2, Tableau
644,25-29,Man,China,Asia,Doctoral degree,< 1 years,Python,0-49 employees,1-2, None
645,30-34,Man,Egypt,África,Master’s degree,3-5 years,R,"10,000 or more employees",0,
646,35-39,Woman,China,Asia,Doctoral degree,10-20 years,Python,0-49 employees,5-9, None
647,22-24,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,3-4, Tableau
647,22-24,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,3-4, Tableau CRM
647,22-24,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,Python,0-49 employees,3-4, SAP Analytics Cloud 
648,25-29,Man,Other,,Bachelor’s degree,< 1 years,R,250-999 employees,10-14, Tableau
649,40-44,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+, Microsoft Power BI
649,40-44,Man,India,Asia,Master’s degree,1-3 years,Python,"10,000 or more employees",20+, Tableau
650,25-29,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,R,0-49 employees,1-2, Microsoft Power BI
650,25-29,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,R,0-49 employees,1-2, Google Data Studio
650,25-29,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,R,0-49 employees,1-2, Tableau
650,25-29,Man,Indonesia,Asia,Bachelor’s degree,3-5 years,R,0-49 employees,1-2, Qlik
651,22-24,Woman,Kenya,África,Bachelor’s degree,< 1 years,Python,0-49 employees,3-4, Microsoft Power BI
651,22-24,Woman,Kenya,África,Bachelor’s degree,< 1 years,Python,0-49 employees,3-4, Tableau
651,22-24,Woman,Kenya,África,Bachelor’s degree,< 1 years,Python,0-49 employees,3-4, SAP Analytics Cloud 
652,45-49,Man,Other,,Some college/university study without earning a bachelor’s degree,5-10 years,Python,50-249 employees,1-2,
653,35-39,Man,Pakistan,Asia,Master’s degree,< 1 years,Other,250-999 employees,10-14,
654,22-24,Man,Czech Republic,Europa,Master’s degree,1-3 years,Python,"10,000 or more employees",20+,
655,22-24,Man,Other,,Bachelor’s degree,< 1 years,R,0-49 employees,10-14,
656,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,Python,50-249 employees,1-2,
657,45-49,Man,Argentina,América del Sur,Bachelor’s degree,< 1 years,Python,"1000-9,999 employees",3-4,
658,40-44,Man,Japan,Asia,Master’s degree,1-3 years,SQL,0-49 employees,1-2,
659,18-21,Woman,India,Asia,Master’s degree,3-5 years,Python,0-49 employees,0, Tableau
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,0-49 employees,1-2, Microsoft Power BI
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,0-49 employees,1-2, Tableau
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,SQL,0-49 employees,1-2, SAP Analytics Cloud 
