,age,gender,q3,continente,q4,q6,q9,q21,q22
651,22-24,Woman,Kenya,África,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,3-4
652,45-49,Man,Other,,Some college/university study without earning a bachelor’s degree,5-10 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,1-2
652,45-49,Man,Other,,Some college/university study without earning a bachelor’s degree,5-10 years,Visual Studio Code (VSCode) ,50-249 employees,1-2
652,45-49,Man,Other,,Some college/university study without earning a bachelor’s degree,5-10 years,PyCharm ,50-249 employees,1-2
653,35-39,Man,Pakistan,Asia,Master’s degree,< 1 years,Jupyter Notebook,250-999 employees,10-14
654,22-24,Man,Czech Republic,Europa,Master’s degree,1-3 years, Spyder,"10,000 or more employees",20+
654,22-24,Man,Czech Republic,Europa,Master’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",20+
655,22-24,Man,Other,,Bachelor’s degree,< 1 years,RStudio ,0-49 employees,10-14
655,22-24,Man,Other,,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,10-14
656,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,RStudio ,50-249 employees,1-2
656,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,MATLAB ,50-249 employees,1-2
656,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Master’s degree,1-3 years,Jupyter Notebook,50-249 employees,1-2
657,45-49,Man,Argentina,América del Sur,Bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",3-4
657,45-49,Man,Argentina,América del Sur,Bachelor’s degree,< 1 years, Spyder,"1000-9,999 employees",3-4
657,45-49,Man,Argentina,América del Sur,Bachelor’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",3-4
658,40-44,Man,Japan,Asia,Master’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
659,18-21,Woman,India,Asia,Master’s degree,3-5 years,RStudio ,0-49 employees,0
659,18-21,Woman,India,Asia,Master’s degree,3-5 years,Jupyter Notebook,0-49 employees,0
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
660,18-21,Man,Pakistan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years, Other,0-49 employees,1-2
661,30-34,Man,Other,,Bachelor’s degree,5-10 years,Jupyter Notebook,250-999 employees,1-2
661,30-34,Man,Other,,Bachelor’s degree,5-10 years, Other,250-999 employees,1-2
662,30-34,Man,Bangladesh,Asia,Master’s degree,1-3 years,PyCharm ,50-249 employees,20+
662,30-34,Man,Bangladesh,Asia,Master’s degree,1-3 years,Jupyter Notebook,50-249 employees,20+
663,25-29,Man,Malaysia,Asia,Bachelor’s degree,1-3 years, Notepad++,0-49 employees,1-2
663,25-29,Man,Malaysia,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years,RStudio ,"10,000 or more employees",3-4
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years,PyCharm ,"10,000 or more employees",3-4
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years, Spyder,"10,000 or more employees",3-4
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years, Notepad++,"10,000 or more employees",3-4
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years,MATLAB ,"10,000 or more employees",3-4
664,18-21,Man,India,Asia,Bachelor’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",3-4
665,25-29,Man,Australia,Oceanía,Bachelor’s degree,< 1 years, None,"1000-9,999 employees",0
666,25-29,Man,Nigeria,África,Some college/university study without earning a bachelor’s degree,< 1 years, Other,"10,000 or more employees",5-9
667,30-34,Man,Germany,Europa,Bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
667,30-34,Man,Germany,Europa,Bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
668,30-34,Man,United States of America,América del Norte,Master’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",10-14
669,30-34,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Visual Studio Code (VSCode) ,"10,000 or more employees",20+
669,30-34,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,PyCharm ,"10,000 or more employees",20+
669,30-34,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years, Spyder,"10,000 or more employees",20+
669,30-34,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years, Notepad++,"10,000 or more employees",20+
669,30-34,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",20+
670,22-24,Man,India,Asia,Master’s degree,1-3 years,Visual Studio ,50-249 employees,1-2
670,22-24,Man,India,Asia,Master’s degree,1-3 years, Spyder,50-249 employees,1-2
670,22-24,Man,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,50-249 employees,1-2
671,22-24,Woman,Egypt,África,Master’s degree,3-5 years,RStudio ,250-999 employees,0
671,22-24,Woman,Egypt,África,Master’s degree,3-5 years,PyCharm ,250-999 employees,0
671,22-24,Woman,Egypt,África,Master’s degree,3-5 years, Spyder,250-999 employees,0
671,22-24,Woman,Egypt,África,Master’s degree,3-5 years,Jupyter Notebook,250-999 employees,0
671,22-24,Woman,Egypt,África,Master’s degree,3-5 years, Other,250-999 employees,0
672,45-49,Man,Egypt,África,Doctoral degree,5-10 years,Visual Studio Code (VSCode) ,"10,000 or more employees",0
672,45-49,Man,Egypt,África,Doctoral degree,5-10 years,PyCharm ,"10,000 or more employees",0
672,45-49,Man,Egypt,África,Doctoral degree,5-10 years, Sublime Text,"10,000 or more employees",0
672,45-49,Man,Egypt,África,Doctoral degree,5-10 years,MATLAB ,"10,000 or more employees",0
672,45-49,Man,Egypt,África,Doctoral degree,5-10 years,Jupyter Notebook,"10,000 or more employees",0
673,25-29,Woman,India,Asia,Master’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,3-4
673,25-29,Woman,India,Asia,Master’s degree,< 1 years,RStudio ,50-249 employees,3-4
673,25-29,Woman,India,Asia,Master’s degree,< 1 years,PyCharm ,50-249 employees,3-4
673,25-29,Woman,India,Asia,Master’s degree,< 1 years, Spyder,50-249 employees,3-4
673,25-29,Woman,India,Asia,Master’s degree,< 1 years,MATLAB ,50-249 employees,3-4
673,25-29,Woman,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,50-249 employees,3-4
674,22-24,Man,Kenya,África,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,,
674,22-24,Man,Kenya,África,Bachelor’s degree,1-3 years,PyCharm ,,
674,22-24,Man,Kenya,África,Bachelor’s degree,1-3 years,Jupyter Notebook,,
675,22-24,Man,China,Asia,Master’s degree,3-5 years,Visual Studio Code (VSCode) ,,
675,22-24,Man,China,Asia,Master’s degree,3-5 years,PyCharm ,,
675,22-24,Man,China,Asia,Master’s degree,3-5 years, Notepad++,,
675,22-24,Man,China,Asia,Master’s degree,3-5 years, Sublime Text,,
675,22-24,Man,China,Asia,Master’s degree,3-5 years,Jupyter Notebook,,
676,55-59,Man,United States of America,América del Norte,Bachelor’s degree,20+ years, Notepad++,0-49 employees,0
677,35-39,Man,Canada,América del Norte,Master’s degree,3-5 years,Visual Studio Code (VSCode) ,"10,000 or more employees",15-19
677,35-39,Man,Canada,América del Norte,Master’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",15-19
678,40-44,Woman,United States of America,América del Norte,Professional doctorate,20+ years,RStudio ,"1000-9,999 employees",20+
678,40-44,Woman,United States of America,América del Norte,Professional doctorate,20+ years, Notepad++,"1000-9,999 employees",20+
678,40-44,Woman,United States of America,América del Norte,Professional doctorate,20+ years,MATLAB ,"1000-9,999 employees",20+
678,40-44,Woman,United States of America,América del Norte,Professional doctorate,20+ years,Jupyter Notebook,"1000-9,999 employees",20+
679,25-29,Woman,Other,,Bachelor’s degree,< 1 years,PyCharm ,"1000-9,999 employees",1-2
680,22-24,Man,Russia,Asia,Bachelor’s degree,1-3 years, Notepad++,"10,000 or more employees",20+
680,22-24,Man,Russia,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",20+
681,25-29,Man,Australia,Oceanía,Master’s degree,5-10 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
681,25-29,Man,Australia,Oceanía,Master’s degree,5-10 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
682,18-21,Woman,Japan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,0
682,18-21,Woman,Japan,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
683,22-24,Man,India,Asia,Master’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
683,22-24,Man,India,Asia,Master’s degree,< 1 years,Visual Studio ,0-49 employees,1-2
683,22-24,Man,India,Asia,Master’s degree,< 1 years, Spyder,0-49 employees,1-2
683,22-24,Man,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,0-49 employees,1-2
684,22-24,Man,Greece,Europa,Bachelor’s degree,5-10 years, Notepad++,"10,000 or more employees",20+
684,22-24,Man,Greece,Europa,Bachelor’s degree,5-10 years,Jupyter Notebook,"10,000 or more employees",20+
685,30-34,Man,India,Asia,Master’s degree,1-3 years,Visual Studio Code (VSCode) ,250-999 employees,5-9
685,30-34,Man,India,Asia,Master’s degree,1-3 years, Spyder,250-999 employees,5-9
685,30-34,Man,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,250-999 employees,5-9
686,35-39,Man,Brazil,América del Sur,Master’s degree,10-20 years,RStudio ,"1000-9,999 employees",20+
686,35-39,Man,Brazil,América del Sur,Master’s degree,10-20 years,Visual Studio ,"1000-9,999 employees",20+
686,35-39,Man,Brazil,América del Sur,Master’s degree,10-20 years, Notepad++,"1000-9,999 employees",20+
686,35-39,Man,Brazil,América del Sur,Master’s degree,10-20 years,Jupyter Notebook,"1000-9,999 employees",20+
687,25-29,Man,Other,,Master’s degree,1-3 years,RStudio ,"10,000 or more employees",20+
687,25-29,Man,Other,,Master’s degree,1-3 years, Notepad++,"10,000 or more employees",20+
687,25-29,Man,Other,,Master’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",20+
688,50-54,Man,Greece,Europa,Doctoral degree,I have never written code,,"10,000 or more employees",0
689,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,250-999 employees,1-2
689,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,250-999 employees,1-2
690,35-39,Prefer not to say,India,Asia,Master’s degree,1-3 years,RStudio ,"10,000 or more employees",20+
691,25-29,Man,India,Asia,Bachelor’s degree,3-5 years,RStudio ,"10,000 or more employees",1-2
691,25-29,Man,India,Asia,Bachelor’s degree,3-5 years, Notepad++,"10,000 or more employees",1-2
692,30-34,Woman,Russia,Asia,Master’s degree,< 1 years,RStudio ,250-999 employees,1-2
692,30-34,Woman,Russia,Asia,Master’s degree,< 1 years, Spyder,250-999 employees,1-2
692,30-34,Woman,Russia,Asia,Master’s degree,< 1 years, Notepad++,250-999 employees,1-2
692,30-34,Woman,Russia,Asia,Master’s degree,< 1 years, Sublime Text,250-999 employees,1-2
692,30-34,Woman,Russia,Asia,Master’s degree,< 1 years,MATLAB ,250-999 employees,1-2
693,22-24,Man,Kenya,África,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,250-999 employees,20+
694,22-24,Woman,Pakistan,Asia,Master’s degree,1-3 years,Visual Studio ,0-49 employees,5-9
694,22-24,Woman,Pakistan,Asia,Master’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,5-9
694,22-24,Woman,Pakistan,Asia,Master’s degree,1-3 years,PyCharm ,0-49 employees,5-9
694,22-24,Woman,Pakistan,Asia,Master’s degree,1-3 years,Jupyter Notebook,0-49 employees,5-9
695,40-44,Man,United States of America,América del Norte,Master’s degree,10-20 years,PyCharm ,"10,000 or more employees",3-4
695,40-44,Man,United States of America,América del Norte,Master’s degree,10-20 years, Notepad++,"10,000 or more employees",3-4
695,40-44,Man,United States of America,América del Norte,Master’s degree,10-20 years,Jupyter Notebook,"10,000 or more employees",3-4
696,25-29,Man,Colombia,América del Sur,Bachelor’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,3-4
696,25-29,Man,Colombia,América del Sur,Bachelor’s degree,3-5 years,Visual Studio ,50-249 employees,3-4
696,25-29,Man,Colombia,América del Sur,Bachelor’s degree,3-5 years, Vim / Emacs,50-249 employees,3-4
696,25-29,Man,Colombia,América del Sur,Bachelor’s degree,3-5 years,Jupyter Notebook,50-249 employees,3-4
697,35-39,Man,United States of America,América del Norte,Master’s degree,5-10 years,Visual Studio ,"10,000 or more employees",20+
698,18-21,Man,Russia,Asia,Bachelor’s degree,1-3 years,RStudio ,0-49 employees,1-2
698,18-21,Man,Russia,Asia,Bachelor’s degree,1-3 years,PyCharm ,0-49 employees,1-2
698,18-21,Man,Russia,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
699,55-59,Man,United States of America,América del Norte,Bachelor’s degree,I have never written code,,50-249 employees,1-2
700,60-69,Man,United States of America,América del Norte,Doctoral degree,20+ years,RStudio ,0-49 employees,3-4
701,35-39,Woman,Canada,América del Norte,Master’s degree,3-5 years, None,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years,Visual Studio ,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years,Visual Studio Code (VSCode) ,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years,PyCharm ,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years, Notepad++,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years, Sublime Text,"10,000 or more employees",20+
702,50-54,Man,Australia,Oceanía,Master’s degree,3-5 years,Jupyter Notebook,"10,000 or more employees",20+
703,30-34,Man,Other,,Master’s degree,5-10 years,RStudio ,"1000-9,999 employees",10-14
703,30-34,Man,Other,,Master’s degree,5-10 years,PyCharm ,"1000-9,999 employees",10-14
703,30-34,Man,Other,,Master’s degree,5-10 years, Sublime Text,"1000-9,999 employees",10-14
703,30-34,Man,Other,,Master’s degree,5-10 years,Jupyter Notebook,"1000-9,999 employees",10-14
704,25-29,Man,India,Asia,I prefer not to answer,3-5 years, Notepad++,"1000-9,999 employees",20+
704,25-29,Man,India,Asia,I prefer not to answer,3-5 years,Jupyter Notebook,"1000-9,999 employees",20+
705,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,RStudio ,0-49 employees,15-19
705,25-29,Man,India,Asia,Bachelor’s degree,1-3 years,PyCharm ,0-49 employees,15-19
705,25-29,Man,India,Asia,Bachelor’s degree,1-3 years, Spyder,0-49 employees,15-19
706,40-44,Prefer not to say,Germany,Europa,Some college/university study without earning a bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,0-49 employees,0
706,40-44,Prefer not to say,Germany,Europa,Some college/university study without earning a bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,0
707,22-24,Man,China,Asia,Master’s degree,< 1 years, None,0-49 employees,3-4
708,18-21,Man,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,50-249 employees,20+
709,30-34,Man,Nigeria,África,Master’s degree,I have never written code,,0-49 employees,0
710,40-44,Man,United States of America,América del Norte,Master’s degree,20+ years,Visual Studio Code (VSCode) ,"10,000 or more employees",20+
710,40-44,Man,United States of America,América del Norte,Master’s degree,20+ years, Notepad++,"10,000 or more employees",20+
710,40-44,Man,United States of America,América del Norte,Master’s degree,20+ years,Jupyter Notebook,"10,000 or more employees",20+
711,18-21,Man,Pakistan,Asia,Bachelor’s degree,I have never written code,,0-49 employees,0
712,22-24,Woman,Spain,Europa,Master’s degree,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
712,22-24,Woman,Spain,Europa,Master’s degree,< 1 years,PyCharm ,0-49 employees,1-2
713,40-44,Man,Denmark,Europa,Master’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",5-9
714,40-44,Man,Brazil,América del Sur,Master’s degree,< 1 years, Spyder,250-999 employees,3-4
714,40-44,Man,Brazil,América del Sur,Master’s degree,< 1 years,Jupyter Notebook,250-999 employees,3-4
715,22-24,Man,Morocco,África,Master’s degree,1-3 years,RStudio ,0-49 employees,0
716,25-29,Man,India,Asia,Bachelor’s degree,I have never written code,,"10,000 or more employees",10-14
717,30-34,Woman,Israel,Asia,Bachelor’s degree,1-3 years, Spyder,"1000-9,999 employees",20+
717,30-34,Woman,Israel,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,"1000-9,999 employees",20+
718,25-29,Man,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,,
719,25-29,Man,Uganda,África,Bachelor’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,20+
719,25-29,Man,Uganda,África,Bachelor’s degree,1-3 years,PyCharm ,50-249 employees,20+
719,25-29,Man,Uganda,África,Bachelor’s degree,1-3 years, Notepad++,50-249 employees,20+
719,25-29,Man,Uganda,África,Bachelor’s degree,1-3 years,Jupyter Notebook,50-249 employees,20+
720,22-24,Woman,Nigeria,África,Bachelor’s degree,1-3 years,Jupyter Notebook,250-999 employees,3-4
721,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years, None,"1000-9,999 employees",3-4
722,45-49,Man,United States of America,América del Norte,Master’s degree,5-10 years,RStudio ,50-249 employees,20+
723,35-39,Man,India,Asia,Master’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",3-4
723,35-39,Man,India,Asia,Master’s degree,1-3 years,RStudio ,"10,000 or more employees",3-4
723,35-39,Man,India,Asia,Master’s degree,1-3 years,Visual Studio ,"10,000 or more employees",3-4
723,35-39,Man,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,"10,000 or more employees",3-4
724,25-29,Man,Ukraine,Europa,Master’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,3-4
724,25-29,Man,Ukraine,Europa,Master’s degree,3-5 years,PyCharm ,50-249 employees,3-4
724,25-29,Man,Ukraine,Europa,Master’s degree,3-5 years, Notepad++,50-249 employees,3-4
724,25-29,Man,Ukraine,Europa,Master’s degree,3-5 years,Jupyter Notebook,50-249 employees,3-4
725,30-34,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,Visual Studio ,250-999 employees,1-2
725,30-34,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,Visual Studio Code (VSCode) ,250-999 employees,1-2
725,30-34,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,250-999 employees,1-2
726,30-34,Man,Indonesia,Asia,Bachelor’s degree,5-10 years, Notepad++,"10,000 or more employees",1-2
726,30-34,Man,Indonesia,Asia,Bachelor’s degree,5-10 years,Jupyter Notebook,"10,000 or more employees",1-2
727,35-39,Man,India,Asia,Bachelor’s degree,10-20 years,PyCharm ,"1000-9,999 employees",15-19
727,35-39,Man,India,Asia,Bachelor’s degree,10-20 years,Jupyter Notebook,"1000-9,999 employees",15-19
728,30-34,Man,Peru,América del Sur,Master’s degree,1-3 years, Spyder,,
728,30-34,Man,Peru,América del Sur,Master’s degree,1-3 years,Jupyter Notebook,,
729,30-34,Man,Belarus,Europa,Bachelor’s degree,1-3 years,PyCharm ,0-49 employees,1-2
729,30-34,Man,Belarus,Europa,Bachelor’s degree,1-3 years, Sublime Text,0-49 employees,1-2
729,30-34,Man,Belarus,Europa,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
730,40-44,Man,Canada,América del Norte,Master’s degree,5-10 years,RStudio ,"1000-9,999 employees",20+
730,40-44,Man,Canada,América del Norte,Master’s degree,5-10 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",20+
730,40-44,Man,Canada,América del Norte,Master’s degree,5-10 years,PyCharm ,"1000-9,999 employees",20+
730,40-44,Man,Canada,América del Norte,Master’s degree,5-10 years, Spyder,"1000-9,999 employees",20+
730,40-44,Man,Canada,América del Norte,Master’s degree,5-10 years,Jupyter Notebook,"1000-9,999 employees",20+
731,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,Jupyter Notebook,50-249 employees,5-9
732,25-29,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,3-4
732,25-29,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,RStudio ,0-49 employees,3-4
732,25-29,Man,United Arab Emirates,Asia,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,3-4
733,18-21,Man,Australia,Oceanía,No formal education past high school,< 1 years,Visual Studio ,0-49 employees,1-2
733,18-21,Man,Australia,Oceanía,No formal education past high school,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,1-2
734,35-39,Man,Nigeria,África,Bachelor’s degree,10-20 years,Visual Studio ,0-49 employees,0
734,35-39,Man,Nigeria,África,Bachelor’s degree,10-20 years, Sublime Text,0-49 employees,0
735,40-44,Man,Other,,No formal education past high school,< 1 years,Visual Studio Code (VSCode) ,0-49 employees,3-4
736,30-34,Woman,Nigeria,África,Master’s degree,1-3 years,Jupyter Notebook,0-49 employees,1-2
737,25-29,Woman,Kenya,África,Bachelor’s degree,I have never written code,,"1000-9,999 employees",20+
738,22-24,Man,Nepal,Asia,Bachelor’s degree,1-3 years,Visual Studio ,50-249 employees,10-14
738,22-24,Man,Nepal,Asia,Bachelor’s degree,1-3 years,PyCharm ,50-249 employees,10-14
739,25-29,Woman,Viet Nam,Asia,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,"10,000 or more employees",1-2
739,25-29,Woman,Viet Nam,Asia,Bachelor’s degree,< 1 years,PyCharm ,"10,000 or more employees",1-2
740,30-34,Man,Viet Nam,Asia,Master’s degree,1-3 years,PyCharm ,50-249 employees,0
740,30-34,Man,Viet Nam,Asia,Master’s degree,1-3 years, Sublime Text,50-249 employees,0
740,30-34,Man,Viet Nam,Asia,Master’s degree,1-3 years,Jupyter Notebook,50-249 employees,0
741,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,< 1 years,Visual Studio ,0-49 employees,0
741,25-29,Man,Spain,Europa,Some college/university study without earning a bachelor’s degree,< 1 years,Jupyter Notebook,0-49 employees,0
742,45-49,Woman,United States of America,América del Norte,Bachelor’s degree,1-3 years,Jupyter Notebook,0-49 employees,0
743,18-21,Woman,United States of America,América del Norte,Master’s degree,5-10 years,RStudio ,"1000-9,999 employees",3-4
743,18-21,Woman,United States of America,América del Norte,Master’s degree,5-10 years,Jupyter Notebook,"1000-9,999 employees",3-4
744,22-24,Man,India,Asia,I prefer not to answer,3-5 years,RStudio ,0-49 employees,3-4
744,22-24,Man,India,Asia,I prefer not to answer,3-5 years, Spyder,0-49 employees,3-4
744,22-24,Man,India,Asia,I prefer not to answer,3-5 years,Jupyter Notebook,0-49 employees,3-4
745,35-39,Man,Kenya,África,Bachelor’s degree,3-5 years,Visual Studio ,0-49 employees,3-4
745,35-39,Man,Kenya,África,Bachelor’s degree,3-5 years,PyCharm ,0-49 employees,3-4
745,35-39,Man,Kenya,África,Bachelor’s degree,3-5 years,Jupyter Notebook,0-49 employees,3-4
746,22-24,Man,Russia,Asia,I prefer not to answer,1-3 years,PyCharm ,"1000-9,999 employees",1-2
746,22-24,Man,Russia,Asia,I prefer not to answer,1-3 years,Jupyter Notebook,"1000-9,999 employees",1-2
747,25-29,Man,Canada,América del Norte,Bachelor’s degree,< 1 years,RStudio ,"1000-9,999 employees",10-14
747,25-29,Man,Canada,América del Norte,Bachelor’s degree,< 1 years,PyCharm ,"1000-9,999 employees",10-14
747,25-29,Man,Canada,América del Norte,Bachelor’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",10-14
748,35-39,Man,Taiwan,Asia,Master’s degree,3-5 years,Jupyter Notebook,"1000-9,999 employees",3-4
749,30-34,Man,Peru,América del Sur,Master’s degree,5-10 years,RStudio ,"1000-9,999 employees",10-14
749,30-34,Man,Peru,América del Sur,Master’s degree,5-10 years, Spyder,"1000-9,999 employees",10-14
750,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,1-2
750,22-24,Man,India,Asia,Bachelor’s degree,< 1 years, Spyder,50-249 employees,1-2
751,22-24,Woman,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",3-4
752,25-29,Man,India,Asia,Doctoral degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,50-249 employees,15-19
752,25-29,Man,India,Asia,Doctoral degree,3-5 years, Spyder,50-249 employees,15-19
752,25-29,Man,India,Asia,Doctoral degree,3-5 years, Notepad++,50-249 employees,15-19
752,25-29,Man,India,Asia,Doctoral degree,3-5 years,Jupyter Notebook,50-249 employees,15-19
753,22-24,Man,India,Asia,Master’s degree,< 1 years,RStudio ,50-249 employees,1-2
753,22-24,Man,India,Asia,Master’s degree,< 1 years,PyCharm ,50-249 employees,1-2
753,22-24,Man,India,Asia,Master’s degree,< 1 years,Jupyter Notebook,50-249 employees,1-2
754,55-59,Man,Australia,Oceanía,Doctoral degree,10-20 years,RStudio ,250-999 employees,20+
755,22-24,Woman,India,Asia,Master’s degree,1-3 years, Sublime Text,"1000-9,999 employees",3-4
755,22-24,Woman,India,Asia,Master’s degree,1-3 years,Jupyter Notebook,"1000-9,999 employees",3-4
756,40-44,Man,Argentina,América del Sur,No formal education past high school,3-5 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",3-4
756,40-44,Man,Argentina,América del Sur,No formal education past high school,3-5 years,Jupyter Notebook,"1000-9,999 employees",3-4
757,25-29,Man,Uganda,África,Master’s degree,< 1 years,RStudio ,0-49 employees,1-2
757,25-29,Man,Uganda,África,Master’s degree,< 1 years,PyCharm ,0-49 employees,1-2
757,25-29,Man,Uganda,África,Master’s degree,< 1 years, Notepad++,0-49 employees,1-2
757,25-29,Man,Uganda,África,Master’s degree,< 1 years, Sublime Text,0-49 employees,1-2
758,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Visual Studio Code (VSCode) ,"1000-9,999 employees",5-9
758,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,PyCharm ,"1000-9,999 employees",5-9
758,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,Jupyter Notebook,"1000-9,999 employees",5-9
759,40-44,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years, Notepad++,"10,000 or more employees",20+
760,30-34,Man,Other,,Master’s degree,3-5 years,Jupyter-JupyterLab-JupyterNotebooks ,0-49 employees,1-2
760,30-34,Man,Other,,Master’s degree,3-5 years,RStudio ,0-49 employees,1-2
760,30-34,Man,Other,,Master’s degree,3-5 years,Jupyter Notebook,0-49 employees,1-2
761,30-34,Man,Canada,América del Norte,Bachelor’s degree,3-5 years,RStudio ,"10,000 or more employees",20+
761,30-34,Man,Canada,América del Norte,Bachelor’s degree,3-5 years,Visual Studio ,"10,000 or more employees",20+
